#   Z    A  M_ej/M_sun
    1    1   1.662e-04
    1    2   4.597e-08
    2    3   6.832e-09
    2    4   3.357e-03
    3    6   7.197e-15
    3    7   6.079e-12
    4    9   1.187e-08
    5   10   3.584e-10
    5   11   4.231e-11
    6   12   2.276e-08
    6   13   1.101e-08
    7   14   5.258e-08
    7   15   9.186e-09
    8   16   8.537e-07
    8   17   5.252e-09
    8   18   5.510e-09
    9   19   6.939e-07
   10   20   2.468e-07
   10   21   1.647e-08
   10   22   7.723e-08
   11   23   1.521e-08
   12   24   3.848e-08
   12   25   1.918e-08
   12   26   4.799e-08
   13   27   2.066e-08
   14   28   1.569e-08
   14   29   1.522e-08
   14   30   2.256e-07
   15   31   3.988e-08
   16   32   2.941e-08
   16   33   5.962e-08
   16   34   5.528e-07
   16   36   2.481e-08
   17   35   1.680e-07
   17   37   1.606e-07
   18   36   4.097e-08
   18   38   4.693e-07
   18   40   2.285e-07
   19   39   5.523e-07
   19   40   2.228e-11
   19   41   4.540e-07
   20   40   3.262e-06
   20   42   4.306e-07
   20   43   1.624e-07
   20   44   4.133e-07
   20   46   1.912e-06
   20   48   1.576e-03
   21   45   2.221e-07
   22   46   7.051e-07
   22   47   1.199e-05
   22   48   6.918e-07
   22   49   5.287e-03
   22   50   4.266e-04
   23   50   3.315e-10
   23   51   2.886e-03
   24   50   1.343e-06
   24   52   2.109e-03
   24   53   2.321e-04
   24   54   1.446e-03
   25   55   3.086e-05
   26   54   1.939e-06
   26   56   7.925e-04
   26   57   3.524e-04
   26   58   4.078e-04
   27   59   3.085e-04
   28   58   9.386e-05
   28   60   5.894e-04
   28   61   3.667e-04
   28   62   1.073e-03
   28   64   6.028e-04
   29   63   2.778e-04
   29   65   5.686e-04
   30   64   4.501e-05
   30   66   5.131e-04
   30   67   5.074e-04
   30   68   9.961e-04
   30   70   3.556e-04
   31   69   5.062e-04
   31   71   1.304e-03
   32   70   8.995e-06
   32   72   7.778e-04
   32   73   3.510e-04
   32   74   1.711e-03
   32   76   1.481e-03
   33   75   1.755e-04
   34   74   3.332e-07
   34   76   1.892e-06
   34   77   7.163e-04
   34   78   3.394e-03
   34   80   8.660e-03
   34   82   2.197e-03
   35   79   1.043e-02
   35   81   1.066e-02
   36   78   1.118e-08
   36   80   1.421e-07
   36   82   5.025e-07
   36   83   9.558e-04
   36   84   3.984e-03
   36   86   1.634e-03
   37   85   3.230e-03
   37   87   4.920e-03
   38   84   9.476e-09
   38   86   2.834e-07
   38   87   2.273e-07
   38   88   5.320e-03
   39   89   1.983e-03
   40   90   1.689e-03
   40   91   2.374e-03
   40   92   1.043e-03
   40   94   3.408e-04
   40   96   5.485e-04
   41   93   4.167e-04
   42   92   1.944e-08
   42   94   3.402e-09
   42   95   2.076e-04
   42   96   4.304e-11
   42   97   2.184e-04
   42   98   3.813e-04
   42  100   4.158e-04
   44   96   8.203e-11
   44   98   5.783e-13
   44   99   1.321e-04
   44  100   3.149e-13
   44  101   3.647e-04
   44  102   1.931e-03
   44  104   1.062e-03
   45  103   1.757e-03
   46  102   3.503e-14
   46  104   1.050e-13
   46  105   6.332e-04
   46  106   9.190e-04
   46  108   6.607e-04
   46  110   5.506e-04
   47  107   8.871e-04
   47  109   4.497e-04
   48  106   2.244e-15
   48  108   1.278e-11
   48  110   3.899e-11
   48  111   2.737e-04
   48  112   6.672e-04
   48  113   4.235e-04
   48  114   4.492e-04
   48  116   4.106e-04
   49  113   1.105e-09
   49  115   3.007e-04
   50  112   2.802e-12
   50  114   2.405e-09
   50  115   1.148e-09
   50  116   1.127e-08
   50  117   2.860e-04
   50  118   2.126e-04
   50  119   2.049e-04
   50  120   1.646e-04
   50  122   2.361e-04
   50  124   3.068e-04
   51  121   2.339e-04
   51  123   2.477e-04
   52  120   1.785e-12
   52  122   1.064e-08
   52  123   2.579e-10
   52  124   1.144e-08
   52  125   3.244e-04
   52  126   9.225e-04
   52  128   1.613e-03
   52  130   5.327e-03
   53  127   1.296e-03
   54  124   3.576e-14
   54  126   2.405e-13
   54  128   8.816e-13
   54  129   1.411e-03
   54  130   7.459e-13
   54  131   2.528e-03
   54  132   1.193e-03
   54  134   2.791e-04
   54  136   5.446e-04
   55  133   5.877e-04
   56  130   1.008e-14
   56  132   4.127e-17
   56  134   5.881e-14
   56  135   1.976e-04
   56  136   8.124e-16
   56  137   2.623e-04
   56  138   1.129e-04
   57  139   1.223e-04
   58  136   2.070e-15
   58  138   2.987e-17
   58  140   1.953e-04
   58  142   5.198e-05
   59  141   5.571e-05
   60  142   9.835e-12
   60  143   6.852e-05
   60  144   8.943e-05
   60  145   2.203e-05
   60  146   8.305e-05
   60  148   7.871e-05
