#   Z    A  M_ej/M_sun
    1    1   1.201e-04
    1    2   5.124e-08
    2    3   3.408e-09
    2    4   2.949e-03
    3    6   1.038e-13
    3    7   3.228e-12
    4    9   1.590e-09
    5   10   5.325e-11
    5   11   1.779e-11
    6   12   4.598e-08
    6   13   2.490e-10
    7   14   1.964e-09
    7   15   1.861e-10
    8   16   1.495e-08
    8   17   3.660e-09
    8   18   5.781e-10
    9   19   2.287e-08
   10   20   3.824e-09
   10   21   1.538e-09
   10   22   5.048e-09
   11   23   6.680e-10
   12   24   1.687e-09
   12   25   1.438e-09
   12   26   1.310e-08
   13   27   1.326e-08
   14   28   3.952e-09
   14   29   2.216e-09
   14   30   1.142e-07
   15   31   8.100e-09
   16   32   6.220e-09
   16   33   1.352e-08
   16   34   2.475e-07
   16   36   7.120e-09
   17   35   2.703e-08
   17   37   2.083e-08
   18   36   1.048e-08
   18   38   2.859e-07
   18   40   5.017e-08
   19   39   1.112e-07
   19   40   5.388e-11
   19   41   1.193e-07
   20   40   9.539e-07
   20   42   3.238e-07
   20   43   5.424e-08
   20   44   1.013e-07
   20   46   2.751e-05
   20   48   1.142e-03
   21   45   9.516e-08
   22   46   4.809e-07
   22   47   4.290e-05
   22   48   1.583e-07
   22   49   2.339e-03
   22   50   2.389e-03
   23   50   9.092e-10
   23   51   1.222e-03
   24   50   7.646e-07
   24   52   1.401e-03
   24   53   5.272e-04
   24   54   1.536e-03
   25   55   4.724e-05
   26   54   1.338e-06
   26   56   6.251e-04
   26   57   4.329e-04
   26   58   4.217e-04
   27   59   1.915e-04
   28   58   6.172e-05
   28   60   7.793e-04
   28   61   2.494e-04
   28   62   1.409e-03
   28   64   8.279e-04
   29   63   2.631e-04
   29   65   3.220e-04
   30   64   7.143e-05
   30   66   1.051e-03
   30   67   3.501e-04
   30   68   9.308e-04
   30   70   4.254e-04
   31   69   4.475e-04
   31   71   4.885e-04
   32   70   1.609e-05
   32   72   5.614e-04
   32   73   2.079e-04
   32   74   1.351e-03
   32   76   1.242e-03
   33   75   2.340e-04
   34   74   5.070e-07
   34   76   3.891e-06
   34   77   8.261e-04
   34   78   2.403e-03
   34   80   6.403e-03
   34   82   3.788e-03
   35   79   4.880e-03
   35   81   7.981e-03
   36   78   1.375e-08
   36   80   2.326e-07
   36   82   1.058e-06
   36   83   1.571e-03
   36   84   1.945e-03
   36   86   1.909e-03
   37   85   1.647e-03
   37   87   1.998e-03
   38   84   1.201e-08
   38   86   5.785e-07
   38   87   5.070e-07
   38   88   2.777e-03
   39   89   1.029e-03
   40   90   9.381e-04
   40   91   5.807e-04
   40   92   6.391e-04
   40   94   3.377e-04
   40   96   1.931e-04
   41   93   3.398e-04
   42   92   2.543e-08
   42   94   5.848e-09
   42   95   8.158e-05
   42   96   1.074e-10
   42   97   8.010e-05
   42   98   1.532e-04
   42  100   1.393e-04
   44   96   1.243e-11
   44   98   7.760e-13
   44   99   5.438e-05
   44  100   7.339e-14
   44  101   1.334e-04
   44  102   6.035e-04
   44  104   2.972e-04
   45  103   3.773e-04
   46  102   1.023e-13
   46  104   8.693e-14
   46  105   1.896e-04
   46  106   1.930e-04
   46  108   1.576e-04
   46  110   1.079e-04
   47  107   1.697e-04
   47  109   1.040e-04
   48  106   1.689e-14
   48  108   6.781e-14
   48  110   8.208e-14
   48  111   5.968e-05
   48  112   1.205e-04
   48  113   7.604e-05
   48  114   8.876e-05
   48  116   6.724e-05
   49  113   5.220e-14
   49  115   5.709e-05
   50  112   2.661e-13
   50  114   2.175e-13
   50  115   2.437e-13
   50  116   1.402e-15
   50  117   5.363e-05
   50  118   3.872e-05
   50  119   3.355e-05
   50  120   3.518e-05
   50  122   4.155e-05
   50  124   4.488e-05
   51  121   4.392e-05
   51  123   4.119e-05
   52  120   2.531e-16
   52  122   4.969e-14
   52  123   2.873e-15
   52  124   2.225e-16
   52  125   4.465e-05
   52  126   1.101e-04
   52  128   1.624e-04
   52  130   4.508e-04
   53  127   1.256e-04
   54  124   1.010e-13
   54  126   5.670e-14
   54  128   2.948e-13
   54  129   1.393e-04
   54  130   1.005e-16
   54  131   2.145e-04
   54  132   1.503e-04
   54  134   7.755e-06
   54  136   1.188e-05
   55  133   1.938e-05
   56  130   1.838e-13
   56  132   1.452e-14
   56  134   9.452e-13
   56  135   1.067e-05
   56  136   4.663e-18
   56  137   4.489e-06
   56  138   7.614e-06
   57  138   4.504e-21
   57  139   8.167e-06
   58  136   9.257e-13
   58  138   1.474e-14
   58  140   6.559e-06
   58  142   3.654e-06
   59  141   2.759e-06
   60  142   1.458e-12
   60  143   3.318e-06
   60  144   4.886e-06
   60  145   1.775e-06
   60  146   5.040e-06
   60  148   4.980e-06
   60  150   4.485e-06
   62  144   4.053e-12
   62  147   1.992e-06
   62  148   3.483e-17
   62  149   2.891e-06
   62  150   1.760e-17
   62  152   4.436e-06
   62  154   6.673e-06
   63  151   3.853e-06
   63  153   4.344e-06
   64  152   1.461e-14
   64  154   1.152e-11
   64  155   6.724e-06
   64  156   8.395e-06
   64  157   8.817e-06
   64  158   8.869e-06
   64  160   7.490e-06
   65  159   7.852e-06
   66  156   1.854e-13
   66  158   8.421e-17
   66  160   6.404e-12
   66  161   8.045e-06
   66  162   1.013e-05
   66  163   9.051e-06
   66  164   8.171e-06
   67  165   6.904e-06
   68  162   3.507e-14
   68  164   2.560e-17
   68  166   6.721e-06
   68  167   4.971e-06
   68  168   5.196e-06
   68  170   7.052e-06
   69  169   5.368e-06
   70  168   5.572e-15
   70  170   8.380e-16
   70  171   7.181e-06
   70  172   6.143e-06
   70  173   5.727e-06
   70  174   4.662e-06
   70  176   3.584e-06
   71  175   4.085e-06
   71  176   8.548e-21
   72  174   2.188e-12
   72  176   1.101e-17
   72  177   3.294e-06
   72  178   3.053e-06
   72  179   2.879e-06
   72  180   4.119e-06
   73  181   3.182e-06
   74  180   4.279e-18
   74  182   5.252e-06
   74  183   4.815e-06
   74  184   8.872e-06
   74  186   1.510e-05
   75  185   1.160e-05
   75  187   1.834e-05
   76  184   2.268e-17
   76  186   8.479e-17
   76  187   3.056e-16
   76  188   1.798e-05
   76  189   2.264e-05
   76  190   2.393e-05
   76  192   3.166e-05
   77  191   2.896e-05
   77  193   2.329e-05
   78  190   8.533e-14
   78  192   1.899e-19
   78  194   3.151e-05
   78  195   2.535e-05
   78  196   1.892e-05
   78  198   4.373e-06
   79  197   1.421e-05
   80  196   9.818e-20
   80  198   1.072e-17
   80  199   3.328e-06
   80  200   1.373e-06
   80  201   4.347e-07
   80  202   1.117e-07
   80  204   9.890e-08
   81  203   9.308e-08
   81  205   8.672e-08
   82  204   2.643e-19
   82  206   3.022e-06
   82  207   2.527e-06
   82  208   1.934e-06
   83  209   9.721e-06
   90  232   3.330e-06
   92  235   3.410e-06
   92  238   1.408e-06
