#   Z    A  M_ej/M_sun
    1    1   7.187e-07
    1    2   1.951e-08
    2    3   1.109e-09
    2    4   1.019e-04
    3    6   6.287e-13
    3    7   2.490e-11
    4    9   1.120e-08
    5   10   4.671e-10
    5   11   5.316e-11
    6   12   1.946e-09
    6   13   2.116e-09
    7   14   1.872e-09
    7   15   2.848e-10
    8   16   1.285e-09
    8   17   1.529e-11
    8   18   6.025e-09
    9   19   1.897e-10
   10   20   1.549e-08
   10   21   1.973e-08
   10   22   1.272e-08
   11   23   7.102e-09
   12   24   3.055e-07
   12   25   1.829e-08
   12   26   1.417e-09
   13   27   2.930e-08
   14   28   1.163e-08
   14   29   1.442e-09
   14   30   1.524e-08
   15   31   7.584e-09
   16   32   4.903e-09
   16   33   4.373e-08
   16   34   5.125e-08
   16   36   6.556e-09
   17   35   8.603e-09
   17   37   1.002e-08
   18   36   1.326e-09
   18   38   2.263e-08
   18   40   1.021e-07
   19   39   6.957e-08
   19   40   2.049e-12
   19   41   6.241e-08
   20   40   2.977e-08
   20   42   1.308e-08
   20   43   1.164e-08
   20   44   3.296e-08
   20   46   3.280e-07
   20   48   1.364e-04
   21   45   1.208e-08
   22   46   4.257e-09
   22   47   1.238e-06
   22   48   1.303e-08
   22   49   3.141e-05
   22   50   2.090e-04
   23   50   3.252e-11
   23   51   6.446e-05
   24   50   1.007e-08
   24   52   6.065e-05
   24   53   1.338e-05
   24   54   1.025e-04
   25   55   8.338e-06
   26   54   1.998e-08
   26   56   2.667e-05
   26   57   1.508e-05
   26   58   3.434e-05
   27   59   1.205e-05
   28   58   1.802e-06
   28   60   4.316e-05
   28   61   3.212e-05
   28   62   1.160e-04
   28   64   9.843e-05
   29   63   3.288e-05
   29   65   3.134e-05
   30   64   2.370e-06
   30   66   5.995e-05
   30   67   3.166e-05
   30   68   8.529e-05
   30   70   9.092e-05
   31   69   2.628e-05
   31   71   3.816e-05
   32   70   4.482e-07
   32   72   7.070e-05
   32   73   4.054e-05
   32   74   1.088e-04
   32   76   1.916e-04
   33   75   2.356e-05
   34   74   1.596e-08
   34   76   1.089e-07
   34   77   2.795e-05
   34   78   2.360e-04
   34   80   5.148e-04
   34   82   6.381e-04
   35   79   3.054e-04
   35   81   4.486e-04
   36   78   6.486e-10
   36   80   6.186e-09
   36   82   3.815e-08
   36   83   2.974e-04
   36   84   2.192e-04
   36   86   3.130e-04
   37   85   1.837e-04
   37   87   3.171e-04
   38   84   4.105e-10
   38   86   2.390e-08
   38   87   2.369e-08
   38   88   3.286e-04
   39   89   1.130e-04
   40   90   1.819e-04
   40   91   8.753e-05
   40   92   1.317e-04
   40   94   1.342e-04
   40   96   1.267e-04
   41   93   8.737e-05
   42   92   7.212e-10
   42   94   1.728e-10
   42   95   6.745e-05
   42   96   1.588e-12
   42   97   5.306e-05
   42   98   1.004e-04
   42  100   3.854e-05
   44   96   1.083e-14
   44   98   1.578e-14
   44   99   3.864e-05
   44  100   4.069e-14
   44  101   6.917e-05
   44  102   2.295e-04
   44  104   9.286e-05
   45  103   6.718e-05
   46  102   5.522e-19
   46  104   6.258e-17
   46  105   7.587e-05
   46  106   7.342e-05
   46  108   5.847e-05
   46  110   4.079e-05
   47  107   4.414e-05
   47  109   3.416e-05
   48  110   1.894e-14
   48  111   3.705e-05
   48  112   7.765e-05
   48  113   2.996e-05
   48  114   3.034e-05
   48  116   3.305e-05
   49  113   3.680e-22
   49  115   2.707e-05
   50  115   4.342e-20
   50  116   2.834e-16
   50  117   2.329e-05
   50  118   2.625e-05
   50  119   2.529e-05
   50  120   4.453e-05
   50  122   7.351e-05
   50  124   9.408e-05
   51  121   6.304e-05
   51  123   7.881e-05
   52  122   3.959e-14
   52  123   4.803e-22
   52  124   1.537e-15
   52  125   7.909e-05
   52  126   1.471e-04
   52  128   8.881e-05
   52  130   1.075e-04
   53  127   1.039e-04
   54  128   3.661e-20
   54  129   5.303e-05
   54  130   1.563e-16
   54  131   1.869e-05
   54  132   3.926e-05
   54  134   2.090e-05
   54  136   2.037e-05
   55  133   2.929e-05
   56  134   7.364e-22
   56  135   2.929e-05
   56  136   1.252e-12
   56  137   7.826e-06
   56  138   1.175e-05
   57  139   1.102e-05
   58  140   9.805e-06
   58  142   7.980e-06
   59  141   6.721e-06
   60  142   1.642e-22
   60  143   9.865e-06
   60  144   1.207e-05
   60  145   5.289e-06
   60  146   1.223e-05
   60  148   1.101e-05
   60  150   9.083e-06
   62  147   5.941e-06
   62  148   1.176e-20
   62  149   7.059e-06
   62  150   8.756e-20
   62  152   8.603e-06
   62  154   1.099e-05
   63  151   8.380e-06
   63  153   8.251e-06
   64  154   4.790e-18
   64  155   1.172e-05
   64  156   1.446e-05
   64  157   1.525e-05
   64  158   1.716e-05
   64  160   1.580e-05
   65  159   1.580e-05
   66  160   1.261e-17
   66  161   1.638e-05
   66  162   1.772e-05
   66  163   1.656e-05
   66  164   1.447e-05
   67  165   1.424e-05
   68  166   1.299e-05
   68  167   1.047e-05
   68  168   9.476e-06
   68  170   1.126e-05
   69  169   8.655e-06
   70  170   2.659e-19
   70  171   1.093e-05
   70  172   9.960e-06
   70  173   9.223e-06
   70  174   8.094e-06
   70  176   5.403e-06
   71  175   7.268e-06
   71  176   3.816e-21
   72  177   4.455e-06
   72  178   3.749e-06
   72  179   3.337e-06
   72  180   4.992e-06
   73  181   3.918e-06
   74  182   6.353e-06
   74  183   5.994e-06
   74  184   1.205e-05
   74  186   2.172e-05
   75  185   1.530e-05
   75  187   2.814e-05
   76  187   4.681e-16
   76  188   2.636e-05
   76  189   3.548e-05
   76  190   3.576e-05
   76  192   4.056e-05
   77  191   3.901e-05
   77  193   3.055e-05
   78  192   6.374e-22
   78  194   3.645e-05
   78  195   4.132e-05
   78  196   3.771e-05
   78  198   1.199e-05
   79  197   2.244e-05
   80  198   1.358e-17
   80  199   1.297e-05
   80  200   1.034e-05
   80  201   1.152e-05
   80  202   2.263e-06
   80  204   1.493e-07
   81  203   7.320e-07
   81  205   1.024e-07
   82  204   4.609e-18
   82  206   5.884e-06
   82  207   4.970e-06
   82  208   3.612e-06
   83  209   1.269e-05
   90  232   7.278e-06
   92  235   8.126e-06
   92  238   4.531e-06
