#   Z    A  M_ej/M_sun
    0    1   1.909e-14
    1    1   1.065e-03
    1    2   1.171e-12
    1    3   2.664e-15
    2    3   6.102e-15
    2    4   1.244e-01
    3    6   4.897e-16
    3    7   2.481e-13
    3    8   1.022e-14
    4    7   7.873e-16
    4    9   1.357e-12
    4   10   8.834e-12
    4   11   1.195e-18
    5   10   9.809e-18
    5   11   2.242e-13
    6   10   1.636e-18
    6   11   1.117e-12
    6   12   2.665e-01
    6   13   6.844e-10
    6   14   2.215e-11
    6   16   9.951e-08
    7   13   1.500e-09
    7   14   2.056e-07
    7   15   7.014e-08
    7   16   1.049e-08
    7   17   6.100e-10
    8   14   1.647e-09
    8   15   1.217e-07
    8   16   1.061e+00
    8   17   3.894e-09
    8   18   3.210e-09
    8   19   2.791e-12
    8   20   8.563e-14
    8   21   1.935e-14
    9   17   6.468e-10
    9   18   2.009e-10
    9   19   6.947e-09
    9   20   2.643e-13
    9   21   9.903e-13
    9   22   2.389e-17
   10   18   7.429e-13
   10   19   2.929e-12
   10   20   5.975e-02
   10   21   4.470e-07
   10   22   1.301e-08
   10   23   2.537e-11
   10   24   3.740e-07
   11   20   3.484e-16
   11   21   2.572e-08
   11   22   1.185e-07
   11   23   5.974e-06
   11   24   1.542e-07
   11   25   3.540e-10
   12   21   9.781e-18
   12   22   2.890e-13
   12   23   5.494e-08
   12   24   1.768e-02
   12   25   5.740e-07
   12   26   2.456e-07
   12   27   2.335e-06
   12   28   1.315e-07
   12   29   2.661e-17
   13   24   1.146e-14
   13   25   5.053e-11
   13   26   1.156e-06
   13   27   1.773e-05
   13   28   2.562e-09
   13   29   2.300e-08
   13   30   1.878e-14
   14   25   1.085e-15
   14   26   1.410e-14
   14   27   9.251e-11
   14   28   5.089e-02
   14   29   1.660e-05
   14   30   6.847e-06
   14   31   7.271e-08
   14   32   8.715e-08
   14   33   1.365e-11
   14   34   1.194e-15
   15   27   2.169e-15
   15   28   3.094e-15
   15   29   5.036e-11
   15   30   1.282e-05
   15   31   1.340e-05
   15   32   1.457e-09
   15   33   2.884e-07
   15   34   2.855e-09
   15   35   4.668e-09
   15   36   6.105e-12
   15   37   9.796e-18
   16   29   3.106e-16
   16   30   1.995e-14
   16   31   7.325e-13
   16   32   2.374e-02
   16   33   5.377e-06
   16   34   3.187e-06
   16   35   1.859e-08
   16   36   2.885e-07
   16   37   1.006e-07
   16   38   1.598e-07
   16   39   3.581e-09
   16   40   7.566e-10
   16   41   3.654e-17
   17   31   7.170e-19
   17   32   7.641e-17
   17   33   2.804e-13
   17   34   1.982e-13
   17   35   5.713e-06
   17   36   7.865e-11
   17   37   2.589e-08
   17   38   1.783e-09
   17   39   8.795e-07
   17   40   4.600e-07
   17   41   9.314e-07
   17   42   5.874e-10
   17   43   1.408e-14
   18   34   1.174e-14
   18   35   8.014e-14
   18   36   4.657e-03
   18   37   2.706e-06
   18   38   3.536e-07
   18   39   1.563e-08
   18   40   4.908e-07
   18   41   4.092e-06
   18   42   4.170e-06
   18   43   6.483e-07
   18   44   6.629e-07
   18   45   1.071e-07
   18   46   5.042e-09
   18   47   1.094e-18
   19   36   7.395e-17
   19   37   5.995e-13
   19   38   1.495e-06
   19   39   2.355e-06
   19   40   1.206e-10
   19   41   2.703e-08
   19   42   1.032e-10
   19   43   1.467e-07
   19   44   6.576e-08
   19   45   2.069e-06
   19   46   4.601e-06
   19   47   2.290e-07
   19   48   1.019e-09
   19   49   1.303e-08
   20   37   2.066e-18
   20   38   1.141e-15
   20   39   1.138e-13
   20   40   5.722e-03
   20   41   1.530e-06
   20   42   1.021e-06
   20   43   1.079e-08
   20   44   5.783e-09
   20   45   9.999e-08
   20   46   3.448e-06
   20   47   8.687e-06
   20   48   1.904e-04
   20   49   2.342e-05
   20   50   4.500e-06
   20   51   1.937e-08
   20   52   1.320e-11
   21   40   1.267e-18
   21   41   3.511e-14
   21   42   2.392e-13
   21   43   1.288e-06
   21   44   4.414e-10
   21   45   3.908e-08
   21   46   1.108e-09
   21   47   3.176e-09
   21   48   4.238e-09
   21   49   6.732e-06
   21   50   2.502e-04
   21   51   4.812e-07
   21   52   6.098e-09
   21   53   4.185e-15
   22   40   1.273e-15
   22   42   1.750e-18
   22   43   4.660e-17
   22   44   2.920e-05
   22   45   2.983e-06
   22   46   2.022e-06
   22   47   1.035e-07
   22   48   2.756e-08
   22   49   1.133e-07
   22   50   3.462e-04
   22   51   4.503e-05
   22   52   6.906e-06
   22   53   2.189e-06
   22   54   9.679e-15
   23   45   9.244e-14
   23   46   5.434e-14
   23   47   2.857e-06
   23   48   1.174e-07
   23   49   2.255e-07
   23   50   2.008e-09
   23   51   8.984e-06
   23   52   5.046e-06
   23   53   1.172e-05
   23   54   6.333e-06
   23   55   8.057e-10
   24   47   2.686e-18
   24   48   1.025e-04
   24   49   4.560e-06
   24   50   4.116e-06
   24   51   3.542e-07
   24   52   3.630e-06
   24   53   9.736e-06
   24   54   8.828e-04
   24   55   6.574e-06
   24   56   1.917e-05
   24   57   2.043e-07
   24   58   2.133e-09
   25   49   1.921e-14
   25   50   9.909e-15
   25   51   7.809e-06
   25   52   2.169e-06
   25   53   1.695e-06
   25   54   4.551e-08
   25   55   2.776e-05
   25   56   4.991e-06
   25   57   1.153e-05
   25   58   1.600e-09
   25   59   4.052e-12
   26   52   1.046e-03
   26   53   9.750e-06
   26   54   1.347e-05
   26   55   1.214e-06
   26   56   3.623e-04
   26   57   2.582e-05
   26   58   3.768e-03
   26   59   1.834e-05
   26   60   7.632e-04
   26   61   3.820e-06
   26   62   3.080e-06
   26   63   1.663e-10
   26   64   1.162e-16
   27   53   1.718e-14
   27   54   1.131e-14
   27   55   2.076e-05
   27   56   1.800e-05
   27   57   8.156e-06
