#   Z    A  M_ej/M_sun
    1    1   1.065e-03
    1    2   1.171e-12
    2    3   8.767e-15
    2    4   1.244e-01
    3    6   4.898e-16
    3    7   2.489e-13
    4    9   1.357e-12
    5   10   8.835e-12
    5   11   1.341e-12
    6   12   2.665e-01
    6   13   2.190e-09
    7   14   2.072e-07
    7   15   1.918e-07
    8   16   1.061e+00
    8   17   5.139e-09
    8   18   3.411e-09
    9   19   6.953e-09
   10   20   5.975e-02
   10   21   4.727e-07
   10   22   1.315e-07
   11   23   6.029e-06
   12   24   1.768e-02
   12   25   5.744e-07
   12   26   1.401e-06
   13   27   2.007e-05
   14   28   5.089e-02
   14   29   1.663e-05
   14   30   1.967e-05
   15   31   1.347e-05
   16   32   2.374e-02
   16   33   5.665e-06
   16   34   3.190e-06
   16   36   2.885e-07
   17   35   5.736e-06
   17   37   2.832e-06
   18   36   4.657e-03
   18   38   2.011e-06
   18   40   9.516e-07
   19   39   3.254e-06
   19   40   1.206e-10
   19   41   6.580e-06
   20   40   5.721e-03
   20   42   5.192e-06
   20   43   2.093e-06
   20   44   2.993e-05
   20   46   8.055e-06
   20   48   1.904e-04
   21   45   5.298e-06
   22   46   2.023e-06
   22   47   1.188e-05
   22   48   1.026e-04
   22   49   3.506e-05
   22   50   6.009e-04
   23   50   2.008e-09
   23   51   6.267e-05
   24   50   4.116e-06
   24   52   1.064e-03
   24   53   3.509e-05
   24   54   8.891e-04
   25   55   5.630e-05
   26   54   1.347e-05
   26   56   1.649e-01
   26   57   2.127e-03
   26   58   3.769e-03
   27   59   8.736e-04
   28   58   1.357e-02
   28   60   2.743e-02
   28   61   5.307e-04
   28   62   2.184e-02
   28   64   7.537e-03
   29   63   5.361e-04
   29   65   1.873e-04
   30   64   4.127e-03
   30   66   5.909e-03
   30   67   5.027e-05
   30   68   4.809e-04
   30   70   7.621e-05
   31   69   2.712e-05
   31   71   7.613e-06
   32   70   3.128e-04
   32   72   1.400e-04
   32   73   2.910e-05
   32   74   1.198e-04
   32   76   2.354e-04
   33   75   4.450e-05
   34   74   1.039e-05
   34   76   2.639e-05
   34   77   8.112e-05
   34   78   3.017e-04
   34   80   2.541e-04
   34   82   9.735e-04
   35   79   2.578e-04
   35   81   3.973e-04
   36   78   3.761e-07
   36   80   2.886e-06
   36   82   5.411e-06
   36   83   2.530e-04
   36   84   3.955e-04
   36   86   1.680e-03
   37   85   1.669e-04
   37   87   3.202e-04
   38   84   2.427e-07
   38   86   1.702e-06
   38   87   9.294e-07
   38   88   4.299e-03
   39   89   5.218e-04
   40   90   1.200e-03
   40   91   1.116e-04
   40   92   2.051e-04
   40   94   3.017e-04
   40   96   6.663e-05
   41   93   2.258e-04
   42   92   1.835e-07
   42   94   5.068e-07
   42   95   2.402e-05
   42   96   6.469e-10
   42   97   3.779e-05
   42   98   3.257e-05
   42  100   7.872e-05
   44   96   4.967e-07
   44   98   1.521e-08
   44   99   1.201e-05
   44  100   1.216e-09
   44  101   1.167e-04
   44  102   2.889e-04
   44  104   6.169e-04
   45  103   1.861e-04
   46  102   5.560e-11
   46  104   8.258e-12
   46  105   2.888e-04
   46  106   6.087e-05
   46  108   1.719e-04
   46  110   7.617e-05
   47  107   1.547e-04
   47  109   9.398e-05
   48  106   1.398e-12
   48  108   7.928e-12
   48  110   9.102e-12
   48  111   4.378e-05
   48  112   5.154e-05
   48  113   9.362e-05
   48  114   1.860e-04
   48  116   5.103e-05
   49  113   6.233e-12
   49  115   6.479e-05
   50  112   1.225e-11
   50  114   1.265e-12
   50  115   5.105e-12
   50  116   2.469e-14
   50  117   7.800e-05
   50  118   5.189e-05
   50  119   2.396e-05
   50  120   2.969e-05
   50  122   2.306e-05
   50  124   1.221e-05
   51  121   2.374e-05
   51  123   1.358e-05
   52  120   3.638e-15
   52  122   5.253e-12
   52  123   5.576e-13
   52  124   5.059e-13
   52  125   1.415e-05
   52  126   7.789e-05
   52  128   2.059e-04
   52  130   9.515e-04
   53  127   4.294e-05
   54  124   1.199e-11
   54  126   1.025e-13
   54  128   1.519e-11
   54  129   1.399e-04
   54  130   4.152e-14
   54  131   6.485e-04
   54  132   2.744e-04
   54  134   2.656e-05
   54  136   5.876e-06
   55  133   1.921e-05
   56  130   4.937e-12
   56  132   1.983e-14
   56  134   1.567e-11
   56  135   1.827e-05
