#   Z    A  M_ej/M_sun
    1    1   7.439e-03
    1    2   2.053e-11
    2    3   2.409e-13
    2    4   2.657e-01
    3    6   1.227e-13
    3    7   1.003e-11
    4    9   2.651e-10
    5   10   1.976e-08
    5   11   8.329e-11
    6   12   2.770e-01
    6   13   2.105e-08
    7   14   5.431e-08
    7   15   3.384e-07
    8   16   1.123e+00
    8   17   1.243e-08
    8   18   1.118e-06
    9   19   4.921e-08
   10   20   4.375e-02
   10   21   3.123e-06
   10   22   2.733e-07
   11   23   9.560e-06
   12   24   1.483e-02
   12   25   2.198e-06
   12   26   3.010e-06
   13   27   3.933e-05
   14   28   9.312e-02
   14   29   2.714e-05
   14   30   2.269e-05
   15   31   2.458e-05
   16   32   4.500e-02
   16   33   1.532e-05
   16   34   7.895e-06
   16   36   1.320e-06
   17   35   1.437e-05
   17   37   8.298e-06
   18   36   8.714e-03
   18   38   6.110e-06
   18   40   2.657e-06
   19   39   1.199e-05
   19   40   2.501e-10
   19   41   1.495e-05
   20   40   1.064e-02
   20   42   8.796e-06
   20   43   5.403e-06
   20   44   9.877e-05
   20   46   1.541e-05
   20   48   5.408e-03
   21   45   1.173e-05
   22   46   7.139e-06
   22   47   3.744e-05
   22   48   2.975e-04
   22   49   2.197e-04
   22   50   2.368e-03
   23   50   4.557e-09
   23   51   3.390e-04
   24   50   1.344e-05
   24   52   2.345e-03
   24   53   1.447e-04
   24   54   4.469e-03
   25   55   3.243e-04
   26   54   8.690e-05
   26   56   4.990e-01
   26   57   1.029e-02
   26   58   1.342e-02
   27   59   3.427e-03
   28   58   1.012e-01
   28   60   7.859e-02
   28   61   1.579e-03
   28   62   4.398e-02
   28   64   1.582e-02
   29   63   1.205e-03
   29   65   3.603e-04
   30   64   1.140e-02
   30   66   1.927e-02
   30   67   1.512e-04
   30   68   4.817e-03
   30   70   3.456e-04
   31   69   2.210e-04
   31   71   1.319e-04
   32   70   4.888e-04
   32   72   4.102e-04
   32   73   2.053e-04
   32   74   1.095e-03
   32   76   1.938e-03
   33   75   1.036e-04
   34   74   1.817e-05
   34   76   5.796e-05
   34   77   2.859e-04
   34   78   1.306e-03
   34   80   4.032e-03
   34   82   6.173e-03
   35   79   1.248e-03
   35   81   2.753e-03
   36   78   9.359e-07
   36   80   6.453e-06
   36   82   1.413e-05
   36   83   3.311e-03
   36   84   4.230e-03
   36   86   5.465e-03
   37   85   1.323e-03
   37   87   1.786e-03
   38   84   6.106e-07
   38   86   7.690e-06
   38   87   5.771e-06
   38   88   1.383e-02
   39   89   2.732e-03
   40   90   4.270e-03
   40   91   1.723e-03
   40   92   2.531e-03
   40   94   6.618e-04
   40   96   2.878e-04
   41   93   8.735e-04
   42   92   5.382e-05
   42   94   3.263e-05
   42   95   1.865e-04
   42   96   2.653e-08
   42   97   7.989e-05
   42   98   2.715e-04
