#   Z    A  M_ej/M_sun
    1    1   4.692e-02
    1    2   8.152e-20
    2    3   1.102e-16
    2    4   3.972e-01
    4    7   5.924e-16
    5    8   9.111e-19
    5   10   1.640e-17
    5   11   1.031e-14
    6   10   2.458e-17
    6   11   2.113e-13
    6   12   4.521e-01
    6   13   2.154e-10
    6   14   8.509e-16
    7   13   2.338e-09
    7   14   1.293e-08
    7   15   1.994e-08
    8   14   1.175e-09
    8   15   3.827e-08
    8   16   1.996e+00
    8   17   5.758e-09
    8   18   1.098e-12
    9   17   6.378e-09
    9   18   1.295e-10
    9   19   2.562e-12
   10   18   5.654e-12
   10   19   3.650e-13
   10   20   1.608e-01
   10   21   1.450e-08
   10   22   4.931e-12
   11   19   1.285e-16
   11   20   2.895e-14
   11   21   1.330e-09
   11   22   1.277e-08
   11   23   5.048e-07
   11   24   4.119e-15
   12   20   6.248e-15
   12   21   1.315e-13
   12   22   7.572e-10
   12   23   4.072e-09
   12   24   2.378e-02
   12   25   1.239e-07
   12   26   2.232e-09
   12   27   4.315e-17
   13   23   6.847e-18
   13   24   1.253e-12
   13   25   2.605e-10
   13   26   1.751e-07
   13   27   4.426e-06
   13   28   3.822e-12
   13   29   1.434e-16
   14   24   3.578e-17
   14   25   8.886e-12
   14   26   1.624e-08
   14   27   1.080e-08
   14   28   1.687e-02
   14   29   5.997e-06
   14   30   2.286e-06
   14   31   7.873e-15
   14   32   3.690e-18
   15   27   4.708e-13
   15   28   1.562e-10
   15   29   1.932e-08
   15   30   5.185e-06
   15   31   7.357e-06
   15   32   2.198e-12
   15   33   1.030e-12
   16   28   8.026e-16
   16   29   1.327e-09
   16   30   4.596e-08
   16   31   1.296e-07
   16   32   7.221e-03
   16   33   2.520e-06
   16   34   2.849e-06
   16   35   2.231e-13
   16   36   1.029e-14
   17   31   1.985e-16
   17   32   1.389e-10
   17   33   1.462e-09
   17   34   9.978e-10
   17   35   8.900e-06
   17   36   1.012e-11
   17   37   1.311e-10
   18   33   6.454e-11
   18   34   1.807e-08
   18   35   5.467e-08
   18   36   1.458e-03
   18   37   6.934e-06
   18   38   7.115e-07
   18   39   1.700e-13
   18   40   8.263e-13
   19   35   1.159e-17
   19   36   5.785e-11
   19   37   1.498e-09
   19   38   5.105e-06
   19   39   9.782e-06
   19   40   1.705e-12
   19   41   2.430e-12
   19   42   2.396e-17
   19   43   1.632e-17
   20   36   3.181e-18
   20   37   4.133e-10
   20   38   4.141e-09
   20   39   1.183e-08
   20   40   2.033e-03
   20   41   6.406e-06
   20   42   5.017e-06
   20   43   3.660e-08
   20   44   8.217e-12
   20   45   2.366e-17
   20   46   2.936e-18
   21   40   4.489e-15
   21   41   5.644e-08
   21   42   3.008e-08
   21   43   8.746e-06
   21   44   5.157e-10
   21   45   1.247e-07
   21   46   9.389e-14
   21   47   9.803e-15
   22   40   5.680e-14
   22   41   1.574e-15
   22   42   8.081e-09
   22   43   3.162e-08
   22   44   1.077e-04
   22   45   2.323e-05
   22   46   2.011e-05
   22   47   1.137e-06
   22   48   1.709e-10
   22   49   1.129e-12
   22   50   5.162e-16
   23   43   4.217e-16
   23   44   2.203e-09
   23   45   3.562e-08
   23   46   1.869e-08
   23   47   3.639e-05
   23   48   2.005e-07
   23   49   1.002e-06
   23   50   1.109e-12
   23   51   2.408e-11
   23   52   7.863e-17
   24   44   9.272e-17
   24   45   9.851e-11
   24   46   1.120e-09
