#   Z    A  M_ej/M_sun
    0    1   2.101e-17
    1    1   5.419e-02
    1    2   2.156e-13
    1    3   4.494e-16
    2    3   2.149e-13
    2    4   5.911e-01
    3    6   1.792e-15
    3    7   1.407e-13
    3    8   1.808e-18
    4    7   4.675e-13
    4    9   4.100e-15
    4   10   6.999e-15
    5    8   2.987e-17
    5   10   1.541e-16
    5   11   2.610e-13
    6   10   3.621e-17
    6   11   1.585e-12
    6   12   4.494e-01
    6   13   9.413e-10
    6   14   7.829e-12
    6   16   5.192e-13
    7   13   1.041e-08
    7   14   2.160e-08
    7   15   1.182e-07
    7   16   5.541e-14
    7   17   3.549e-13
    8   14   6.663e-09
    8   15   2.639e-07
    8   16   2.611e+00
    8   17   9.742e-08
    8   18   7.086e-12
    8   19   1.066e-15
    8   20   7.623e-15
    9   17   8.242e-08
    9   18   1.001e-09
    9   19   6.840e-11
    9   20   1.898e-14
    9   21   7.318e-17
    9   22   5.154e-18
   10   18   2.238e-16
   10   19   5.762e-12
   10   20   2.946e-01
   10   21   2.740e-07
   10   22   9.888e-12
   10   23   9.315e-14
   10   24   1.145e-13
   11   21   2.239e-08
   11   22   3.290e-07
   11   23   2.053e-06
   11   24   4.471e-14
   11   25   1.297e-14
   12   22   3.688e-12
   12   23   1.839e-08
   12   24   5.681e-02
   12   25   5.104e-07
   12   26   9.069e-09
   12   27   4.114e-14
   12   28   4.799e-14
   13   24   1.514e-15
   13   25   5.846e-10
   13   26   1.000e-06
   13   27   1.529e-05
   13   28   5.424e-12
   13   29   1.071e-13
   14   26   1.826e-14
   14   27   6.768e-11
   14   28   4.805e-02
   14   29   2.329e-05
   14   30   1.087e-05
   14   31   1.158e-12
   14   32   1.580e-12
   14   33   3.072e-17
   15   27   9.194e-18
   15   28   2.004e-16
   15   29   1.226e-10
   15   30   2.311e-05
   15   31   2.460e-05
   15   32   5.076e-12
   15   33   4.834e-12
   15   34   2.267e-14
   15   35   3.011e-13
   15   36   4.247e-17
   16   30   7.898e-16
   16   31   3.999e-12
   16   32   1.936e-02
   16   33   8.260e-06
   16   34   1.181e-05
   16   35   1.759e-12
   16   36   2.803e-12
   16   37   6.348e-13
   16   38   3.670e-13
   16   39   3.173e-15
   16   40   1.899e-15
   17   33   6.375e-13
   17   34   8.314e-13
   17   35   2.633e-05
   17   36   1.916e-11
   17   37   5.100e-10
   17   38   1.470e-13
   17   39   5.156e-13
   17   40   3.550e-13
   17   41   1.641e-13
   17   42   1.441e-15
   18   34   3.543e-17
   18   35   1.906e-15
   18   36   3.736e-03
   18   37   2.576e-05
   18   38   2.693e-06
   18   39   1.533e-12
   18   40   5.248e-12
   18   41   5.318e-13
   18   42   1.812e-12
   18   43   2.142e-12
   18   44   1.159e-12
   18   45   6.972e-14
   18   46   3.199e-15
   19   37   7.569e-12
   19   38   1.872e-05
   19   39   3.695e-05
   19   40   1.109e-11
   19   41   1.475e-11
   19   42   1.343e-14
   19   43   3.536e-13
   19   44   1.060e-13
   19   45   6.870e-13
   19   46   7.766e-13
   19   47   2.143e-13
   19   48   2.459e-15
   19   49   4.211e-14
