#   Z    A  M_ej/M_sun
    1    1   5.419e-02
    1    2   2.156e-13
    2    3   2.157e-13
    2    4   5.911e-01
    3    6   1.792e-15
    3    7   6.083e-13
    4    9   4.100e-15
    5   10   7.181e-15
    5   11   1.846e-12
    6   12   4.494e-01
    6   13   1.135e-08
    7   14   2.827e-08
    7   15   3.817e-07
    8   16   2.611e+00
    8   17   1.798e-07
    8   18   1.008e-09
    9   19   7.416e-11
   10   20   2.946e-01
   10   21   2.964e-07
   10   22   3.290e-07
   11   23   2.071e-06
   12   24   5.681e-02
   12   25   5.110e-07
   12   26   1.009e-06
   13   27   1.529e-05
   14   28   4.805e-02
   14   29   2.329e-05
   14   30   3.398e-05
   15   31   2.460e-05
   16   32   1.936e-02
   16   33   8.260e-06
   16   34   1.181e-05
   16   36   3.167e-12
   17   35   2.633e-05
   17   37   2.576e-05
   18   36   3.736e-03
   18   38   2.141e-05
   18   40   5.605e-12
   19   39   3.695e-05
   19   40   1.109e-11
   19   41   2.349e-05
   20   40   4.981e-03
   20   42   1.784e-05
   20   43   2.687e-05
   20   44   1.858e-04
   20   46   7.336e-12
   20   48   3.395e-12
   21   45   4.754e-05
   22   46   3.594e-05
   22   47   6.019e-05
   22   48   4.120e-04
   22   49   5.830e-05
   22   50   5.013e-11
   23   50   1.732e-10
   23   51   1.141e-04
   24   50   5.272e-05
   24   52   2.170e-03
   24   53   5.825e-05
   24   54   5.933e-09
   25   55   1.609e-04
   26   54   7.015e-05
   26   56   8.648e-01
   26   57   1.850e-02
   26   58   4.906e-07
   27   59   2.144e-03
   28   58   7.178e-03
   28   60   2.838e-02
   28   61   2.466e-04
   28   62   1.264e-03
   28   64   6.590e-06
   29   63   9.755e-05
   29   65   2.557e-05
   30   64   1.358e-03
   30   66   4.900e-04
   30   67   5.690e-06
   30   68   4.351e-05
   30   70   4.397e-08
   31   69   3.029e-06
   31   71   5.648e-07
   32   70   9.534e-05
   32   72   1.119e-05
   32   73   3.939e-07
   32   74   5.386e-07
   32   76   7.868e-08
   33   75   7.683e-07
   34   74   1.175e-05
   34   76   5.912e-06
   34   77   5.109e-07
   34   78   1.213e-06
   34   80   1.746e-07
   34   82   9.471e-09
   35   79   5.138e-07
   35   81   3.169e-07
   36   78   2.408e-06
   36   80   3.048e-06
   36   82   9.824e-07
   36   83   3.230e-07
   36   84   1.203e-06
   36   86   7.326e-07
   37   85   4.318e-07
   37   87   2.854e-06
   38   84   9.626e-07
   38   86   8.359e-07
   38   87   3.486e-07
   38   88   1.476e-04
   39   89   2.075e-05
   40   90   2.493e-04
   40   91   8.756e-06
   40   92   1.226e-08
   40   94   3.323e-11
   40   96   1.392e-11
   41   93   2.065e-07
   42   92   7.789e-06
   42   94   1.298e-07
   42   95   1.508e-08
   42   96   1.386e-10
   42   97   2.758e-08
   42   98   4.198e-11
   42  100   8.206e-11
   44   96   1.487e-07
   44   98   4.559e-08
   44   99   2.802e-08
   44  100   7.070e-08
   44  101   3.888e-08
   44  102   6.282e-10
   44  104   9.381e-11
   45  103   2.960e-08
   46  102   3.525e-08
   46  104   3.290e-08
   46  105   1.879e-08
   46  106   3.326e-09
   46  108   5.034e-10
   46  110   2.284e-10
   47  107   1.565e-08
   47  109   1.209e-08
   48  106   1.282e-08
   48  108   1.664e-08
   48  110   1.324e-08
   48  111   8.609e-09
   48  112   2.035e-09
   48  113   2.957e-10
   48  114   5.828e-10
   48  116   6.947e-10
   49  113   8.114e-09
   49  115   1.585e-09
   50  112   1.387e-08
   50  114   2.408e-08
   50  115   6.882e-08
   50  116   5.734e-09
   50  117   1.563e-08
   50  118   1.487e-08
   50  119   3.252e-08
   50  120   2.205e-08
   50  122   2.459e-09
   50  124   3.921e-10
   51  121   2.760e-08
   51  123   2.754e-09
   52  120   3.584e-09
   52  122   6.884e-09
   52  123   2.837e-09
   52  124   8.901e-09
   52  125   4.024e-08
   52  126   1.742e-08
   52  128   1.189e-08
   52  130   5.509e-09
   53  127   1.010e-07
   54  124   9.556e-09
   54  126   6.747e-08
   54  128   1.183e-07
   54  129   5.908e-08
   54  130   2.262e-09
   54  131   1.044e-07
   54  132   8.099e-09
   54  134   8.504e-09
   54  136   4.154e-09
   55  133   7.975e-08
   56  130   1.345e-07
   56  132   4.357e-08
   56  134   7.330e-08
   56  135   4.299e-08
   56  136   1.179e-08
   56  137   1.266e-07
   56  138   3.702e-08
   57  138   4.174e-09
   57  139   3.099e-08
   58  136   1.635e-07
   58  138   1.263e-08
   58  140   4.286e-08
   58  142   6.494e-11
   59  141   8.578e-09
   60  142   7.895e-08
   60  143   2.227e-08
   60  144   2.377e-10
   60  145   1.657e-09
   60  146   5.016e-10
   60  148   3.312e-10
   60  150   1.360e-09
   62  144   8.255e-09
   62  147   5.018e-10
   62  148   2.673e-11
   62  149   1.069e-09
   62  150   4.058e-12
   62  152   1.500e-09
   62  154   9.057e-10
   63  151   1.149e-09
   63  153   1.799e-09
   64  152   7.840e-10
   64  154   1.018e-07
   64  155   1.371e-08
   64  156   3.717e-09
   64  157   2.855e-09
   64  158   2.901e-09
   64  160   1.694e-09
   65  159   3.534e-09
   66  156   2.576e-10
   66  158   1.384e-10
   66  160   6.804e-10
   66  161   1.366e-09
   66  162   1.496e-09
   66  163   1.178e-09
   66  164   7.924e-10
   67  165   7.725e-10
   68  162   5.015e-11
   68  164   8.443e-11
   68  166   9.213e-10
   68  167   5.724e-10
   68  168   2.398e-10
   68  170   2.310e-10
   69  169   4.285e-10
   70  168   9.942e-11
   70  170   5.799e-11
   70  171   2.635e-10
   70  172   2.025e-10
   70  173   4.109e-10
   70  174   9.172e-11
   70  176   7.408e-11
   71  175   2.203e-10
   71  176   1.566e-13
   72  174   1.890e-10
   72  176   5.900e-11
   72  177   2.750e-10
   72  178   5.938e-10
   72  179   2.950e-10
   72  180   1.095e-10
   73  181   3.866e-10
   74  180   4.337e-11
   74  182   1.095e-10
   74  183   7.619e-11
   74  184   3.545e-11
   74  186   5.989e-11
   75  185   8.789e-11
   75  187   4.447e-11
   76  184   2.321e-11
   76  186   6.165e-11
   76  187   2.213e-11
   76  188   7.764e-11
   76  189   9.189e-11
   76  190   7.702e-11
   76  192   8.098e-11
   77  191   1.500e-10
   77  193   6.731e-11
   78  190   7.044e-11
   78  192   4.193e-11
   78  194   6.722e-10
   78  195   1.446e-10
   78  196   1.350e-10
   78  198   1.291e-10
   79  197   2.925e-10
   80  196   4.211e-12
   80  198   1.742e-11
   80  199   3.139e-10
   80  200   2.472e-10
   80  201   2.098e-10
   80  202   6.347e-11
   80  204   1.357e-11
   81  203   3.875e-11
   81  205   1.486e-11
   82  204   8.955e-13
   82  206   1.788e-11
   82  207   1.238e-11
   82  208   1.372e-11
   83  209   1.431e-12
   90  232   2.444e-13
   92  235   2.988e-13
   92  238   1.200e-13
