#   Z    A  M_ej/M_sun
    1    1   8.748e-02
    1    2   1.554e-19
    2    3   3.366e-16
    2    4   4.740e-01
    4    7   1.475e-15
    5    8   4.984e-18
    5   10   1.218e-17
    5   11   1.369e-14
    6   10   4.813e-17
    6   11   2.764e-13
    6   12   3.552e-01
    6   13   8.102e-10
    6   14   2.646e-15
    7   13   8.559e-09
    7   14   1.027e-08
    7   15   4.337e-08
    8   14   2.860e-09
    8   15   8.965e-08
    8   16   2.886e+00
    8   17   2.422e-08
    8   18   1.349e-12
    9   17   2.096e-08
    9   18   1.993e-10
    9   19   1.645e-11
   10   18   2.492e-17
   10   19   1.269e-12
   10   20   4.382e-01
   10   21   1.215e-07
   10   22   5.838e-12
   11   21   1.031e-08
   11   22   8.301e-08
   11   23   1.476e-06
   11   24   8.670e-15
   12   22   6.625e-13
   12   23   8.798e-09
   12   24   8.577e-02
   12   25   2.177e-07
   12   26   8.490e-09
   12   27   6.616e-17
   13   24   5.599e-17
   13   25   1.349e-10
   13   26   2.513e-07
   13   27   1.458e-05
   13   28   4.250e-12
   13   29   4.359e-16
   14   26   9.079e-16
   14   27   2.148e-11
   14   28   2.881e-02
   14   29   8.972e-06
   14   30   4.095e-06
   14   31   6.702e-15
   14   32   2.917e-18
   15   28   1.444e-18
   15   29   3.252e-11
   15   30   8.707e-06
   15   31   1.244e-05
   15   32   2.654e-12
   15   33   2.257e-12
   16   30   7.234e-18
   16   31   4.076e-13
   16   32   1.116e-02
   16   33   2.725e-06
   16   34   2.447e-06
   16   35   2.788e-13
   16   36   3.980e-15
   17   33   3.768e-14
   17   34   3.935e-14
   17   35   6.585e-06
   17   36   1.100e-11
   17   37   1.338e-10
   18   35   2.152e-16
   18   36   2.192e-03
   18   37   6.376e-06
   18   38   7.191e-07
   18   39   2.138e-15
   18   40   1.113e-16
   19   37   5.075e-13
   19   38   5.058e-06
   19   39   1.094e-05
   19   40   7.645e-14
   19   41   5.867e-15
   20   39   3.675e-15
   20   40   2.732e-03
   20   41   6.801e-06
   20   42   5.377e-06
   20   43   3.927e-08
   20   44   1.167e-12
   21   41   2.661e-17
   21   42   3.994e-16
   21   43   8.744e-06
   21   44   2.753e-10
   21   45   9.615e-08
   22   40   1.068e-13
   22   44   5.510e-05
   22   45   1.707e-05
   22   46   1.368e-05
   22   47   7.629e-07
   22   48   2.845e-12
   22   49   6.471e-13
   23   45   2.257e-16
   23   46   1.352e-17
   23   47   2.347e-05
   23   48   1.208e-07
   23   49   5.770e-07
   23   50   1.555e-16
   23   51   1.227e-11
   24   48   1.490e-04
   24   49   2.346e-05
   24   50   2.117e-05
   24   51   8.991e-07
   24   52   1.298e-10
   24   53   5.640e-17
   24   54   8.156e-18
   25   49   1.965e-17
   25   51   3.903e-05
   25   52   1.992e-06
   25   53   3.253e-06
   25   54   4.373e-14
   25   55   6.669e-14
   26   52   9.725e-04
   26   53   2.486e-05
   26   54   3.351e-05
   26   55   6.681e-08
   26   56   5.306e-05
   26   57   4.202e-11
   26   58   4.995e-14
   27   55   6.455e-05
   27   56   5.042e-05
   27   57   8.352e-06
   27   58   7.508e-11
   27   59   7.356e-12
   27   60   3.984e-16
   28   56   4.244e-01
   28   57   1.648e-02
   28   58   3.692e-03
   28   59   8.889e-04
   28   60   2.056e-04
   28   61   2.338e-07
   28   62   7.432e-09
   29   57   4.310e-17
   29   58   5.584e-10
   29   59   8.122e-04
   29   60   8.589e-03
   29   61   8.114e-05
   29   62   1.374e-07
   29   63   7.529e-07
   29   64   6.205e-17
   29   65   2.864e-13
   30   60   1.649e-02
   30   61   8.438e-05
   30   62   7.957e-05
   30   63   4.307e-05
   30   64   6.908e-05
   30   65   2.481e-07
   30   66   2.297e-11
   30   67   4.165e-12
   30   68   1.149e-14
   31   63   8.299e-06
   31   64   2.765e-04
   31   65   5.516e-06
   31   66   2.519e-08
   31   67   4.906e-08
   31   68   2.558e-12
   31   69   1.621e-12
   31   71   2.032e-17
   32   64   2.164e-04
   32   65   9.944e-07
   32   66   3.370e-06
   32   67   1.417e-06
   32   68   2.381e-06
   32   69   9.199e-09
   32   70   2.571e-11
   32   71   1.086e-12
   32   72   1.381e-15
   32   73   4.857e-18
   33   67   4.655e-07
   33   68   8.162e-06
   33   69   1.973e-07
   33   70   2.574e-09
   33   71   9.802e-09
   33   72   6.637e-12
   33   73   1.870e-12
   33   75   5.885e-18
   34   68   2.345e-06
   34   69   2.648e-08
   34   70   1.039e-07
   34   71   5.892e-08
   34   72   1.693e-07
   34   73   1.881e-09
   34   74   1.057e-11
   34   75   3.284e-12
   34   76   3.900e-15
   34   77   1.613e-16
   35   71   4.542e-09
   35   72   2.204e-07
   35   73   8.423e-09
   35   74   5.014e-10
   35   75   7.218e-10
   35   76   1.048e-11
   35   77   1.669e-12
   35   79   2.818e-16
   36   72   1.270e-08
   36   73   1.300e-09
   36   74   5.528e-09
   36   75   3.818e-09
   36   76   1.620e-08
   36   77   2.570e-10
   36   78   6.940e-12
   36   79   1.840e-12
   36   80   3.291e-12
   36   81   2.129e-15
   36   82   1.933e-16
   37   75   2.118e-10
   37   76   5.215e-09
   37   77   9.955e-10
   37   78   2.188e-10
   37   79   8.996e-11
   37   80   4.127e-12
   37   81   1.641e-12
   37   82   6.269e-16
   37   83   4.076e-16
   38   76   1.647e-11
   38   77   2.244e-12
   38   78   4.873e-10
   38   79   2.210e-10
   38   80   1.248e-09
   38   81   6.654e-11
   38   82   5.141e-11
   38   83   2.088e-12
