#   Z    A  M_ej/M_sun
    1    1   8.748e-02
    1    2   1.937e-19
    2    3   3.418e-16
    2    4   4.740e-01
    3    7   1.495e-15
    5   10   2.915e-17
    5   11   2.901e-13
    6   12   3.552e-01
    6   13   9.369e-09
    7   14   1.313e-08
    7   15   1.329e-07
    8   16   2.886e+00
    8   17   4.518e-08
    8   18   2.007e-10
    9   19   1.772e-11
   10   20   4.382e-01
   10   21   1.318e-07
   10   22   8.302e-08
   11   23   1.485e-06
   12   24   8.577e-02
   12   25   2.178e-07
   12   26   2.597e-07
   13   27   1.458e-05
   14   28   2.881e-02
   14   29   8.972e-06
   14   30   1.280e-05
   15   31   1.244e-05
   16   32   1.116e-02
   16   33   2.725e-06
   16   34   2.447e-06
   16   36   2.131e-13
   17   35   6.585e-06
   17   37   6.377e-06
   18   36   2.192e-03
   18   38   5.778e-06
   18   40   1.113e-16
   19   39   1.094e-05
   19   40   7.645e-14
   19   41   6.801e-06
   20   40   2.732e-03
   20   42   5.377e-06
   20   43   8.784e-06
   20   44   5.510e-05
   20   46   1.776e-19
   21   45   1.717e-05
   22   46   1.368e-05
   22   47   2.424e-05
   22   48   1.491e-04
   22   49   2.404e-05
   23   50   1.555e-16
   23   51   3.993e-05
   24   50   2.117e-05
   24   52   9.746e-04
   24   53   2.811e-05
   24   54   4.374e-14
   25   55   6.462e-05
   26   54   3.351e-05
   26   56   4.245e-01
   26   57   1.649e-02
   26   58   7.513e-11
   27   59   1.701e-03
   28   58   3.692e-03
   28   60   2.529e-02
   28   61   1.657e-04
   28   62   7.972e-05
   28   64   3.824e-17
   29   63   5.212e-05
   29   65   6.759e-06
   30   64   5.620e-04
   30   66   3.395e-06
   30   67   1.932e-06
   30   68   1.289e-05
   31   69   2.330e-07
   31   71   7.326e-08
   32   70   1.065e-07
   32   72   4.024e-07
   32   73   1.161e-08
   33   75   4.755e-09
   34   74   6.040e-09
   34   76   2.144e-08
   34   77   1.256e-09
   35   79   3.189e-10
   35   81   1.254e-10
   36   78   7.130e-10
   36   80   1.495e-09
   36   82   6.478e-11
   36   83   3.474e-11
   37   85   4.090e-11
   38   84   1.343e-10
   38   86   1.714e-11
   38   87   9.968e-12
   38   88   1.615e-11
   39   89   4.827e-12
   40   90   3.170e-11
   40   91   3.116e-12
   41   93   1.271e-12
   42   92   2.630e-12
   42   94   7.461e-12
   42   95   1.256e-12
   42   97   4.507e-13
   44   96   5.382e-12
   44   98   1.329e-12
   44   99   6.410e-14
   44  100   1.774e-15
   44  101   9.011e-17
   45  103   6.618e-17
   46  102   1.568e-16
   46  104   1.396e-16
   46  105   9.645e-18
   47  107   2.603e-18
   47  109   7.621e-18
   48  106   2.920e-16
   48  108   7.693e-17
   48  110   3.242e-16
   48  111   1.830e-16
   49  113   6.453e-16
   50  112   5.819e-17
   50  114   9.861e-19
   50  115   5.220e-17
   50  118   3.122e-19
   50  119   4.101e-17
   52  122   1.674e-16
   52  123   2.385e-16
   52  125   5.476e-16
   54  124   3.659e-18
   54  126   4.403e-19
   54  128   1.418e-16
   54  129   1.393e-15
   54  131   5.811e-16
   56  130   4.310e-18
   56  132   3.627e-19
   56  134   1.391e-16
   56  135   1.504e-15
   56  137   6.644e-17
   58  136   2.362e-18
   58  140   5.301e-15
   59  141   1.258e-18
   60  142   1.327e-10
   60  143   3.810e-11
   60  145   2.749e-15
   60  146   4.024e-19
   62  144   1.019e-13
   62  147   6.251e-20
   62  149   1.408e-18
   63  153   5.672e-18
   64  152   6.363e-18
   64  154   4.355e-13
   64  155   1.578e-13
   64  157   6.052e-16
   65  159   2.992e-18
   66  156   9.993e-16
   66  158   1.201e-18
   66  160   2.419e-14
   66  161   3.780e-15
   66  163   4.466e-16
   67  165   4.454e-18
   68  162   5.691e-16
   68  164   5.278e-19
   68  166   3.309e-14
   68  167   7.410e-15
   69  169   2.485e-16
   70  168   2.183e-16
   70  170   1.979e-17
   70  171   5.207e-15
   70  172   5.414e-19
   71  175   2.124e-14
   72  174   3.039e-14
   72  176   2.585e-18
   72  177   1.730e-19
   72  178   1.467e-13
   72  179   3.575e-14
   73  181   7.375e-17
   74  180   9.300e-18
   74  182   8.441e-14
   74  183   3.185e-15
   75  185   9.288e-17
   76  184   1.693e-16
   76  186   6.574e-16
   76  187   4.842e-17
   76  189   2.251e-19
   77  191   1.244e-13
   77  193   2.037e-18
   78  190   4.551e-13
   78  192   1.100e-17
   78  194   1.045e-12
   78  195   5.273e-14
   79  197   2.109e-18
   80  196   4.580e-17
   80  199   5.162e-14
   80  200   4.268e-16
   80  201   3.283e-19
