#   Z    A  M_ej/M_sun
    1    1   2.689e-06
    1    2   1.066e-08
    2    3   2.275e-09
    2    4   1.552e-04
    3    6   7.895e-11
    3    7   8.748e-11
    4    9   3.020e-07
    5   10   1.275e-07
    5   11   3.327e-10
    6   12   5.613e-07
    6   13   4.307e-08
    7   14   2.097e-07
    7   15   1.321e-07
    8   16   3.070e-07
    8   17   6.152e-08
    8   18   8.959e-07
    9   19   2.988e-07
   10   20   8.365e-08
   10   21   2.031e-05
   10   22   6.204e-08
   11   23   1.056e-07
   12   24   4.760e-06
   12   25   2.184e-06
   12   26   5.160e-07
   13   27   2.075e-07
   14   28   2.070e-07
   14   29   1.262e-07
   14   30   4.582e-07
   15   31   2.375e-07
   16   32   3.005e-07
   16   33   4.618e-07
   16   34   9.534e-07
   16   36   1.900e-07
   17   35   1.828e-07
   17   37   8.305e-08
   18   36   5.247e-14
   18   38   2.066e-07
   18   40   8.673e-07
   19   39   6.387e-07
   19   40   1.469e-15
   19   41   1.256e-06
   20   40   3.758e-15
   20   42   6.938e-07
   20   43   1.668e-07
   20   44   3.479e-07
   20   46   1.355e-06
   20   48   7.328e-05
   21   45   1.671e-07
   22   46   9.379e-14
   22   47   1.522e-06
   22   48   1.385e-13
   22   49   3.491e-04
   22   50   2.478e-05
   23   50   3.201e-15
   23   51   3.409e-04
   24   50   3.601e-15
   24   52   8.971e-05
   24   53   1.307e-05
   24   54   6.100e-05
   25   55   1.403e-06
   26   54   1.521e-17
   26   56   1.592e-05
   26   57   1.613e-05
   26   58   1.870e-05
   27   59   1.360e-05
   28   58   7.364e-20
   28   60   1.728e-05
   28   61   1.314e-05
   28   62   3.852e-05
   28   64   2.102e-05
   29   63   1.363e-05
   29   65   2.456e-05
   30   64   2.149e-16
   30   66   1.887e-05
   30   67   2.487e-05
   30   68   5.118e-05
   30   70   2.089e-05
   31   69   3.337e-05
   31   71   7.547e-05
   32   70   4.163e-14
   32   72   4.499e-05
   32   73   2.147e-05
   32   74   1.104e-04
   32   76   9.685e-05
   33   75   1.109e-05
   34   74   8.171e-20
   34   76   7.007e-14
   34   77   8.079e-05
   34   78   3.683e-04
   34   80   1.207e-03
   34   82   3.046e-04
   35   79   1.284e-03
   35   81   1.782e-03
   36   80   8.370e-20
   36   82   1.664e-11
   36   83   2.668e-04
   36   84   7.702e-04
   36   86   3.688e-04
   37   85   7.381e-04
   37   87   1.365e-03
   38   84   7.959e-22
   38   86   1.524e-12
   38   87   3.249e-13
   38   88   1.291e-03
   39   89   5.940e-04
   40   90   6.217e-04
   40   91   8.883e-04
   40   92   2.133e-04
   40   94   6.504e-05
   40   96   5.074e-05
   41   93   1.626e-04
   42   92   3.171e-18
   42   94   1.932e-15
   42   95   4.930e-05
   42   96   7.722e-13
   42   97   4.729e-05
   42   98   7.805e-05
   42  100   2.807e-04
   44   98   3.280e-19
   44   99   5.973e-05
   44  100   7.003e-12
   44  101   1.577e-04
   44  102   7.303e-04
   44  104   5.474e-04
   45  103   8.931e-04
   46  104   3.838e-14
   46  105   4.816e-04
   46  106   5.422e-04
   46  108   4.794e-04
   46  110   4.953e-04
   47  107   6.087e-04
   47  109   4.714e-04
   48  110   6.517e-12
   48  111   3.576e-04
   48  112   5.337e-04
   48  113   3.839e-04
   48  114   4.247e-04
   48  116   3.755e-04
   49  113   2.662e-21
   49  115   3.071e-04
   50  115   5.002e-19
   50  116   9.999e-14
   50  117   2.875e-04
   50  118   2.307e-04
   50  119   2.047e-04
   50  120   1.567e-04
   50  122   2.000e-04
   50  124   1.371e-04
   51  121   1.681e-04
   51  123   1.016e-04
   52  122   6.659e-12
   52  123   3.022e-19
   52  124   1.092e-13
   52  125   1.101e-04
   52  126   3.855e-04
   52  128   9.918e-04
   52  130   4.186e-03
   53  127   7.119e-04
   54  128   1.791e-17
   54  129   1.006e-03
   54  130   7.148e-14
   54  131   1.970e-03
   54  132   1.131e-03
   54  134   3.464e-04
   54  136   4.147e-04
   55  133   4.628e-04
   56  134   9.482e-18
   56  135   3.441e-04
   56  136   8.142e-11
   56  137   3.368e-04
   56  138   3.662e-04
   57  139   5.208e-04
   58  140   3.215e-04
   58  142   2.353e-04
   59  141   2.038e-04
   60  142   7.350e-19
   60  143   2.527e-04
   60  144   2.577e-04
   60  145   1.314e-04
   60  146   1.985e-04
   60  148   2.121e-04
   60  150   2.296e-04
   62  147   1.745e-04
   62  148   3.938e-17
   62  149   1.862e-04
   62  150   1.894e-14
   62  152   2.178e-04
   62  154   2.791e-04
   63  151   2.443e-04
   63  153   2.308e-04
   64  154   7.896e-15
   64  155   3.210e-04
   64  156   3.896e-04
   64  157   4.004e-04
   64  158   4.792e-04
   64  160   4.391e-04
   65  159   4.337e-04
   66  160   2.879e-14
   66  161   4.466e-04
   66  162   4.581e-04
   66  163   4.730e-04
   66  164   3.640e-04
   67  165   3.948e-04
   68  166   2.872e-04
   68  167   2.467e-04
   68  168   2.039e-04
   68  170   2.287e-04
   69  169   1.600e-04
   70  170   7.400e-16
   70  171   1.729e-04
   70  172   1.463e-04
   70  173   1.278e-04
   70  174   1.632e-04
   70  176   9.520e-05
   71  175   1.366e-04
   71  176   2.726e-17
   72  177   1.228e-04
   72  178   1.020e-04
   72  179   8.537e-05
   72  180   7.721e-05
   73  181   4.913e-05
   74  182   4.055e-05
   74  183   3.014e-05
   74  184   5.995e-05
   74  186   9.068e-05
   75  185   4.603e-05
   75  187   1.535e-04
   76  186   4.305e-20
   76  187   2.553e-15
   76  188   1.570e-04
   76  189   2.939e-04
   76  190   3.428e-04
   76  192   6.209e-04
   77  191   3.825e-04
   77  193   7.194e-04
   78  192   4.937e-18
   78  194   1.209e-03
   78  195   2.560e-03
   78  196   3.494e-03
   78  198   1.486e-03
   79  197   1.977e-03
   80  198   6.214e-14
   80  199   1.496e-03
   80  200   8.805e-04
   80  201   4.334e-04
   80  202   5.791e-05
   80  204   1.729e-05
   81  203   2.744e-05
   81  205   2.260e-05
   82  204   1.827e-15
   82  206   6.525e-04
   82  207   5.822e-04
   82  208   3.563e-04
   83  209   1.489e-03
   90  232   7.831e-04
   92  235   8.342e-04
   92  238   4.703e-04
