#   Z    A           N; Prantzos et al. (2020)
   31   69      7.6340
   31   71      2.4528
   32   72     10.2074
   32   73      3.9776
   32   74     20.6412
   32   76      6.4005
   33   75      2.5559
   34   77      2.0343
   34   78      7.2480
   34   80     27.2355
   34   82      5.2362
   35   79      3.9205
   35   81      3.9494
   36   83      4.5731
   36   84     24.7404
   36   86      3.1040
   37   85      3.4509
   37   87      0.0844
   38   88      1.8624
   39   89      1.0279
   40   90      1.0712
   40   91      0.0520
   40   92      0.4718
   40   94      0.1403
   40   96      0.2141
   41   93      0.2722
   42   95      0.2105
   42   97      0.1071
   42   98      0.1219
   42  100      0.2405
   44   99      0.1562
   44  101      0.2611
   44  102      0.2945
   44  104      0.3244
   45  103      0.3249
   46  105      0.2639
   46  106      0.1818
   46  108      0.1346
   46  110      0.1520
   47  107      0.2200
   47  109      0.1685
   48  111      0.1365
   48  112      0.1615
   48  113      0.1219
   48  114      0.1388
   48  116      0.1077
   49  115      0.1035
   50  117      0.1382
   50  118      0.2375
   50  119      0.1180
   50  120      0.1770
   50  122      0.1501
   50  124      0.2073
   51  121      0.1087
   51  123      0.1272
   52  125      0.2449
   52  126      0.4676
   52  128      1.4513
   52  130      1.5737
   53  127      1.0648
   54  129      1.4550
   54  131      1.1245
   54  132      0.9317
   54  134      0.5122
   54  136      0.4286
   55  133      0.3128
   56  135      0.2215
   56  137      0.1772
   56  138      0.1316
   57  139      0.0914
   58  140      0.0676
   58  142      0.1145
   59  141      0.0800
   60  143      0.0642
   60  144      0.0883
   60  145      0.0527
   60  146      0.0442
   60  148      0.0414
   60  150      0.0479
   62  147      0.0314
   62  149      0.0325
   62  152      0.0520
   62  154      0.0571
   63  151      0.0449
   63  153      0.0488
   64  155      0.0503
   64  156      0.0584
   64  157      0.0508
   64  158      0.0619
   64  160      0.0770
   65  159      0.0588
   66  161      0.0727
   66  162      0.0866
   66  163      0.0964
   66  164      0.0863
   67  165      0.0843
   68  166      0.0762
   68  167      0.0547
   68  168      0.0449
   68  170      0.0341
   69  169      0.0354
   70  171      0.0279
   70  172      0.0304
   70  173      0.0287
   70  174      0.0300
   70  176      0.0295
   71  175      0.0305
   72  177      0.0261
   72  178      0.0162
   72  179      0.0116
   72  180      0.0104
   73  181      0.0104
   74  182      0.0118
   74  183      0.0059
   74  184      0.0088
   74  186      0.0281
   75  185      0.0136
   75  187      0.0356
   76  187      0.0021
   76  188      0.0715
   76  189      0.1055
   76  190      0.1554
   76  192      0.2730
   77  191      0.2462
   77  193      0.4172
   78  194      0.3898
   78  195      0.4172
   78  196      0.2792
   78  198      0.0885
   79  197      0.1837
   80  199      0.0574
   80  200      0.0450
   80  201      0.0343
   80  202      0.0353
   80  204      0.0298
   81  203      0.0096
   81  205      0.0342
   82  206      0.1916
   82  207      0.1999
   82  208      0.1521
   83  209      0.1082
   90  232      0.0440
   92  235      0.0058
   92  238      0.0180
